"vwr.catalogue","months","ratings"
"129-8922",75,1
"472-5350",29,2
"527-6106",24,5
"537-7921",14,4
"665-1608",40,5
"958-4261",43,4
"123-3250",29,1
"344-7621",20,2
"852-2032",18,2
"843-1095",57,3
"852-2032",94,5
"852-2032",87,1
"991-1521",30,2
"814-2194",24,5
"174-1299",26,3
"537-7921",72,4
"814-2194",95,2
"498-2096",88,5
"123-3250",18,1
"991-1521",17,2
"265-5066",32,3
"991-1521",82,4
"472-5350",28,2
"184-4518",7,5
"463-0796",47,4
"991-1521",78,3
"150-6738",11,3
"711-8269",46,5
"265-5066",90,3
"020-7640",65,4
"184-4518",92,2
"711-8269",51,1
"771-0191",36,4
"749-1349",91,2
"129-8922",41,5
"184-4518",3,1
"330-0138",95,2
"991-1521",16,1
"537-7921",26,4
"472-5350",44,1
"935-0095",81,5
"852-2032",74,5
"616-1192",17,1
"711-8269",47,4
"843-1095",96,5
"852-2032",10,1
"991-1521",15,4
"852-2032",45,5
"711-8269",84,3
"184-4518",79,1
"129-8922",36,4
"680-2792",5,1
"852-2032",12,5
"498-2096",28,2
"199-2425",16,1
"991-1521",79,2
"174-1299",10,5
"045-1447",60,1
"221-7720",53,4
"150-6738",3,4
"034-6104",89,5
"330-0138",18,5
"487-8333",49,5
"821-0097",61,1
"935-0095",13,4
"537-7921",97,5
"852-2032",71,1
"665-1608",76,3
"070-7073",48,4
"935-0095",50,3
"463-0796",98,1
"991-1521",62,4
"472-5350",99,4
"749-1349",40,4
"463-0796",95,3
"991-1521",11,4
"498-2096",16,3
"683-9500",96,3
"814-2194",11,5
"014-2854",3,2
"843-1095",10,3
"123-3250",29,4
"935-0095",94,5
"960-9530",69,3
"463-0796",27,4
"330-0138",56,5
"020-7640",92,3
"749-1349",12,3
"498-2096",11,4
"852-2032",72,3
"821-0097",71,2
"711-8269",46,3
"711-8269",23,5
"991-1521",12,1
"935-0095",26,3
"940-3669",97,2
"935-0095",27,5
"498-2096",24,5
"843-1095",13,4
"711-8269",17,2
